coin,view,fold,feature,importance
BTC,V2,1,open,1.5075006951579593
BTC,V2,1,high,1.3224089266368777
BTC,V2,1,low,1.4690019223691384
BTC,V2,1,close,2.25864446883349
BTC,V2,1,volume,3.8162455731099882
BTC,V2,1,RET_1D,9.398948247869537
BTC,V2,1,RET_5D,4.107935788737362
BTC,V2,1,RET_20D,4.011814866853857
BTC,V2,1,TECH_RSI14,3.7553431727736797
BTC,V2,1,TECH_RSI30,3.7226986704219978
BTC,V2,1,TECH_MACD,1.6245508414783485
BTC,V2,1,TECH_MACD_SIG,3.086188870178654
BTC,V2,1,TECH_MA5R,3.732070180577531
BTC,V2,1,TECH_MA20R,1.618958699120343
BTC,V2,1,TECH_MA50R,3.5979554022260247
BTC,V2,1,VOL_ATR14,2.3193069528919783
BTC,V2,1,BAND_BB_W,4.10531774647432
BTC,V2,1,BAND_KC_W,3.446123797528123
BTC,V2,1,PX_OBV,3.2994900163289334
BTC,V2,1,VOL_Z20,3.852844571761617
BTC,V2,1,DERIV_OI_D1,3.1541163904545244
BTC,V2,1,DERIV_OI_PCT1,4.6636251677404035
BTC,V2,1,DERIV_FUND_Z7,3.7662279799716223
BTC,V2,1,DERIV_LSR_D1,0.0
BTC,V2,1,FLOW_LIQ_NET,0.6169915290945878
BTC,V2,1,FLOW_LIQ_ABS,1.1376356789411928
BTC,V2,1,FLOW_TAKER_IMB,0.0
BTC,V2,1,EXBAL_PCT_1D,0.0
BTC,V2,1,SENT_FEAR,1.5857210374455595
BTC,V2,1,SENT_D_FEAR,10.662968578744964
BTC,V2,1,WEEK_RET_1W,4.77139283959732
BTC,V2,1,WEEK_RSI_1W,2.890786172672106
BTC,V2,1,WEEK_MA_CROSS_1W,0.697185214007951
BTC,V2,2,open,1.5927413511158877
BTC,V2,2,high,1.6328207714904386
BTC,V2,2,low,2.2719909113387913
BTC,V2,2,close,1.7987942682436013
BTC,V2,2,volume,3.8381764060961
BTC,V2,2,RET_1D,6.757803659837458
BTC,V2,2,RET_5D,4.392040806012729
BTC,V2,2,RET_20D,4.09616834562117
BTC,V2,2,TECH_RSI14,4.0297308466453305
BTC,V2,2,TECH_RSI30,3.7194666295292786
BTC,V2,2,TECH_MACD,1.8412862543856368
BTC,V2,2,TECH_MACD_SIG,2.1624705580158485
BTC,V2,2,TECH_MA5R,4.14285908734703
BTC,V2,2,TECH_MA20R,2.3873570304247824
BTC,V2,2,TECH_MA50R,3.1457021737163773
BTC,V2,2,VOL_ATR14,2.826884827049314
BTC,V2,2,BAND_BB_W,4.115231830687182
BTC,V2,2,BAND_KC_W,4.360452232207665
BTC,V2,2,PX_OBV,4.122248887758813
BTC,V2,2,VOL_Z20,3.017385458608501
BTC,V2,2,DERIV_OI_D1,3.055016503043379
BTC,V2,2,DERIV_OI_PCT1,3.6690719399859115
BTC,V2,2,DERIV_FUND_Z7,3.8128507965846037
BTC,V2,2,DERIV_LSR_D1,0.0
BTC,V2,2,FLOW_LIQ_NET,2.0494988046574822
BTC,V2,2,FLOW_LIQ_ABS,1.8818177016377262
BTC,V2,2,FLOW_TAKER_IMB,0.0
